nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran,link_restoran,Alamat
Kerang Dara Saus Padang,30000,Main Course,gurih asin pedas  kerang ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kerang Dara Saus Tiram,30000,Main Course,gurih asin  kerang,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kerang Dara Asam Manis,30000,Main Course,gurih asin asam manis   kerang,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kerang Dara Rica-Rica,30000,Main Course,gurih asin pedas  kerang,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kerang Dara Lada Hitam,30000,Main Course,gurih asin pedas  kerang ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kerang Dara gorengMentega,30000,Main Course,gurih asin manis  kerang ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Kerang Dara Rebus,30000,Main Course,gurih asin  kerang,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Cumi Saus Padang,37500,Main Course,gurih asin pedas    cumi,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Cumi goreng Mentega,37500,Main Course,gurih asin manis   cumi,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
Cumi Telor Asin,36000,Main Course,gurih asin   cumi telur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta"
